Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
TRANSFORMER,Stage2,10,1.0908,0.329,0.3432,0.2063,1.0984
TRANSFORMER,Stage2,11,1.0852,0.3303,0.3663,0.1867,1.0956
TRANSFORMER,Stage2,12,1.0819,0.3388,0.3648,0.3027,1.0994
TRANSFORMER,Stage2,13,1.0853,0.3344,0.3654,0.2451,1.0966
TRANSFORMER,Stage2,14,1.0829,0.3306,0.3684,0.1788,1.0987
TRANSFORMER,Stage2,15,1.0829,0.3366,0.3592,0.246,1.0975
TRANSFORMER,Stage2,16,1.0816,0.3323,0.352,0.2346,1.098
TRANSFORMER,Stage2,17,1.0797,0.3343,0.3579,0.2809,1.0975
TRANSFORMER,Stage2,18,1.078,0.3341,0.3613,0.2194,1.0986
TRANSFORMER,Stage2,19,1.076,0.3355,0.3753,0.1961,1.1034
TRANSFORMER,Stage2,20,1.0779,0.3293,0.3552,0.2089,1.1002
TRANSFORMER,Stage2,21,1.0769,0.3324,0.3558,0.2231,1.0991
CNN,Joint,1,1.3991,0.0243,0.3418,0.0452,1.4012
CNN,Joint,2,1.3587,0.0236,0.1213,0.0394,1.324
CNN,Joint,3,1.3489,0.003,0.2385,0.006,1.3345
CNN,Joint,4,1.3472,0.1064,0.2418,0.1135,1.3242
CNN,Joint,5,1.3454,0.1066,0.3199,0.1494,1.3314
CNN,Joint,6,1.3416,0.1005,0.3228,0.138,1.35
CNN,Joint,7,1.3408,0.1023,0.36,0.1497,1.365
CNN,Joint,8,1.3395,0.104,0.3037,0.1477,1.3345
CNN,Joint,9,1.334,0.1039,0.2497,0.0696,1.3349
CNN,Joint,10,1.3338,0.0993,0.3185,0.1207,1.3544
CNN,Joint,11,1.3335,0.1026,0.3057,0.1357,1.3372
CNN,Joint,12,1.3321,0.1007,0.3078,0.1161,1.3459
CNN,Stage1,1,0.6801,0.3198,0.5925,0.4154,0.642
CNN,Stage1,2,0.6607,0.3141,0.685,0.4307,0.6492
CNN,Stage1,3,0.6528,0.3184,0.6052,0.4173,0.6373
CNN,Stage1,4,0.6518,0.3145,0.6954,0.4331,0.6472
CNN,Stage1,5,0.6515,0.3021,0.8671,0.448,0.6914
CNN,Stage1,6,0.6508,0.3178,0.6413,0.425,0.6411
CNN,Stage1,7,0.6509,0.3083,0.8055,0.4459,0.6651
CNN,Stage1,8,0.6488,0.317,0.6749,0.4314,0.6412
CNN,Stage1,9,0.6519,0.3112,0.7779,0.4445,0.6601
CNN,Stage1,10,0.6489,0.3109,0.7772,0.4441,0.6612
CNN,Stage1,11,0.6489,0.315,0.6915,0.4328,0.6461
CNN,Stage1,12,0.6494,0.3116,0.7642,0.4427,0.659
CNN,Stage1,13,0.6484,0.3151,0.6725,0.4291,0.6426
CNN,Stage2,1,1.1324,0.3419,0.3583,0.3149,1.0994
CNN,Stage2,2,1.1093,0.3262,0.3567,0.1266,1.0929
CNN,Stage2,3,1.0972,0.0863,0.3736,0.14,1.1109
CNN,Stage2,4,1.0923,0.3402,0.3636,0.3345,1.1013
CNN,Stage2,5,1.0896,0.3148,0.3542,0.1436,1.0975
CNN,Stage2,6,1.0918,0.3284,0.3527,0.3157,1.0967
CNN,Stage2,7,1.0902,0.3534,0.3699,0.3049,1.0936
CNN,Stage2,8,1.0883,0.3322,0.3746,0.1554,1.0921
CNN,Stage2,9,1.0867,0.33,0.3724,0.1542,1.0926
CNN,Stage2,10,1.0864,0.3064,0.3641,0.133,1.0932
CNN,Stage2,11,1.0881,0.3273,0.3549,0.2811,1.0967
CNN,Stage2,12,1.0855,0.321,0.3577,0.195,1.104
CNN,Stage2,13,1.0829,0.3399,0.355,0.3373,1.1101
CNN,Stage2,14,1.0822,0.3185,0.3317,0.1164,1.1065
CNN,Stage2,15,1.0755,0.3215,0.348,0.192,1.103
CNN,Stage2,16,1.0713,0.3303,0.3537,0.2699,1.106
CNN,Stage2,17,1.0724,0.3093,0.352,0.1527,1.1039
CNN,Stage2,18,1.0686,0.3372,0.3524,0.3241,1.1183
