Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
TRANSFORMER,Joint,1,0.2787,0.9563,0.9915,0.9729,0.0388
TRANSFORMER,Joint,2,0.0589,0.9028,0.9765,0.9333,0.049
TRANSFORMER,Joint,3,0.045,0.857,0.9522,0.8922,0.1088
TRANSFORMER,Joint,4,0.0369,0.9691,0.9929,0.9802,0.0249
TRANSFORMER,Joint,5,0.0401,0.9818,0.9864,0.984,0.0326
TRANSFORMER,Joint,6,0.0282,0.9928,0.9969,0.9948,0.013
TRANSFORMER,Joint,7,0.0293,1.0,0.9982,0.9991,0.0109
TRANSFORMER,Joint,8,0.0246,1.0,0.9982,0.9991,0.0141
TRANSFORMER,Joint,9,0.0275,0.9983,0.9982,0.9982,0.0123
TRANSFORMER,Joint,10,0.018,1.0,0.9982,0.9991,0.0099
TRANSFORMER,Joint,11,0.0174,1.0,0.9982,0.9991,0.0159
TRANSFORMER,Joint,12,0.0407,0.9988,0.9979,0.9983,0.011
TRANSFORMER,Joint,13,0.0228,0.9993,0.9981,0.9987,0.0138
TRANSFORMER,Joint,14,0.0162,1.0,0.9982,0.9991,0.0103
TRANSFORMER,Joint,15,0.0396,0.9992,0.9982,0.9987,0.0109
TRANSFORMER,Joint,16,0.02,0.9374,0.9819,0.9569,0.0374
TRANSFORMER,Joint,17,0.0175,0.9951,0.9974,0.9963,0.0128
TRANSFORMER,Joint,18,0.015,0.997,0.9979,0.9975,0.0122
TRANSFORMER,Joint,19,0.0141,0.9975,0.9979,0.9977,0.0112
TRANSFORMER,Joint,20,0.0134,0.9966,0.9979,0.9972,0.0125
TRANSFORMER,Stage1,1,0.0659,0.9984,0.9958,0.9971,0.011
TRANSFORMER,Stage1,2,0.0289,1.0,0.9958,0.9979,0.0151
TRANSFORMER,Stage1,3,0.0305,0.999,0.9959,0.9975,0.0145
TRANSFORMER,Stage1,4,0.027,1.0,0.9959,0.998,0.0109
TRANSFORMER,Stage1,5,0.0259,1.0,0.9958,0.9979,0.0104
TRANSFORMER,Stage1,6,0.0243,0.9999,0.9958,0.9978,0.0091
TRANSFORMER,Stage1,7,0.0241,1.0,0.9961,0.998,0.0085
TRANSFORMER,Stage1,8,0.0245,1.0,0.9959,0.998,0.0084
TRANSFORMER,Stage1,9,0.0231,1.0,0.9958,0.9979,0.0111
TRANSFORMER,Stage1,10,0.0281,1.0,0.9961,0.998,0.0101
TRANSFORMER,Stage1,11,0.0246,1.0,0.9961,0.998,0.0122
TRANSFORMER,Stage1,12,0.0221,1.0,0.9961,0.998,0.0132
TRANSFORMER,Stage1,13,0.0214,1.0,0.9961,0.998,0.0153
TRANSFORMER,Stage1,14,0.0226,1.0,0.9961,0.998,0.014
TRANSFORMER,Stage1,15,0.0188,1.0,0.9961,0.998,0.0115
TRANSFORMER,Stage1,16,0.0183,1.0,0.9961,0.998,0.0101
TRANSFORMER,Stage1,17,0.0181,1.0,0.9961,0.998,0.0104
TRANSFORMER,Stage1,18,0.0167,0.9952,0.9961,0.9956,0.0242
TRANSFORMER,Stage2,1,0.3152,0.9141,0.9812,0.9421,0.0507
TRANSFORMER,Stage2,2,0.0645,0.9068,0.9701,0.9342,0.0781
TRANSFORMER,Stage2,3,0.033,0.9894,0.9981,0.9937,0.0058
TRANSFORMER,Stage2,4,0.0337,0.9678,0.9936,0.9802,0.0198
TRANSFORMER,Stage2,5,0.0249,0.9966,0.9994,0.998,0.0028
TRANSFORMER,Stage2,6,0.0614,0.9983,0.9939,0.996,0.0265
TRANSFORMER,Stage2,7,0.0071,0.9995,0.9999,0.9997,0.0013
TRANSFORMER,Stage2,8,0.0131,0.9993,0.9998,0.9995,0.0017
TRANSFORMER,Stage2,9,0.0037,0.9995,0.9999,0.9997,0.0008
TRANSFORMER,Stage2,10,0.0184,0.9978,0.9909,0.9943,0.0255
TRANSFORMER,Stage2,11,0.0126,0.9995,0.9999,0.9997,0.0013
TRANSFORMER,Stage2,12,0.0017,0.9998,0.9999,0.9998,0.0006
TRANSFORMER,Stage2,13,0.0011,0.9998,0.9999,0.9998,0.0003
TRANSFORMER,Stage2,14,0.0006,0.9985,0.9998,0.9991,0.0005
TRANSFORMER,Stage2,15,0.0131,0.9956,0.9993,0.9974,0.0022
TRANSFORMER,Stage2,16,0.0016,0.9971,0.9997,0.9984,0.0012
TRANSFORMER,Stage2,17,0.0571,0.9951,0.9991,0.9971,0.0047
TRANSFORMER,Stage2,18,0.014,0.9776,0.9796,0.9781,0.0599
TRANSFORMER,Stage2,19,0.0104,0.9953,0.9991,0.9972,0.0027
TRANSFORMER,Stage2,20,0.0016,0.9983,0.9997,0.999,0.0011
TRANSFORMER,Stage2,21,0.0014,0.9983,0.9997,0.999,0.0018
TRANSFORMER,Stage2,22,0.0008,0.9998,0.9999,0.9998,0.001
TRANSFORMER,Stage2,23,0.0004,0.9983,0.9997,0.999,0.0006
CNN,Joint,1,0.1449,0.986,0.9982,0.992,0.0154
CNN,Joint,2,0.0279,0.9906,0.9982,0.9944,0.0211
CNN,Joint,3,0.0206,0.9975,0.9982,0.9979,0.0105
CNN,Joint,4,0.0185,0.9966,0.9982,0.9974,0.0126
CNN,Joint,5,0.018,0.9985,0.9947,0.9966,0.0164
CNN,Joint,6,0.022,0.9983,0.9982,0.9982,0.009
CNN,Joint,7,0.0169,0.9995,0.9982,0.9988,0.0086
CNN,Joint,8,0.0154,0.9983,0.9982,0.9982,0.0091
CNN,Joint,9,0.0129,0.9971,0.9982,0.9976,0.0126
CNN,Joint,10,0.0138,0.9995,0.9982,0.9988,0.0086
CNN,Joint,11,0.0128,0.9971,0.998,0.9975,0.0106
CNN,Joint,12,0.0126,0.997,0.9982,0.9976,0.0113
CNN,Joint,13,0.0113,0.9809,0.9979,0.9893,0.0283
CNN,Joint,14,0.0096,0.9971,0.9982,0.9976,0.0108
CNN,Joint,15,0.0084,0.9966,0.9982,0.9974,0.0114
CNN,Joint,16,0.0074,0.9962,0.9982,0.9972,0.0099
CNN,Joint,17,0.0115,0.9956,0.9982,0.9969,0.0137
CNN,Stage1,1,0.0536,0.9997,0.9961,0.9979,0.0103
CNN,Stage1,2,0.0298,1.0,0.9961,0.998,0.0132
CNN,Stage1,3,0.0259,0.9988,0.9961,0.9975,0.0095
CNN,Stage1,4,0.0277,1.0,0.9961,0.998,0.0191
CNN,Stage1,5,0.0238,1.0,0.9961,0.998,0.0093
CNN,Stage1,6,0.0222,1.0,0.9961,0.998,0.0101
CNN,Stage1,7,0.0179,0.9997,0.9961,0.9979,0.0079
CNN,Stage1,8,0.0201,0.9958,0.9961,0.9959,0.0288
CNN,Stage1,9,0.0175,0.9999,0.9961,0.998,0.0083
CNN,Stage1,10,0.0204,1.0,0.9961,0.998,0.0121
CNN,Stage1,11,0.0167,1.0,0.9961,0.998,0.0075
CNN,Stage1,12,0.0154,0.9082,0.9961,0.9501,0.0608
CNN,Stage1,13,0.017,1.0,0.9961,0.998,0.0093
CNN,Stage1,14,0.0138,1.0,0.9961,0.998,0.0112
CNN,Stage1,15,0.0152,0.9993,0.9961,0.9977,0.0155
CNN,Stage1,16,0.0141,1.0,0.9961,0.998,0.0099
CNN,Stage1,17,0.0103,1.0,0.9961,0.998,0.01
CNN,Stage1,18,0.0112,0.9981,0.9961,0.9971,0.0107
CNN,Stage1,19,0.0083,0.9999,0.9961,0.998,0.0086
CNN,Stage1,20,0.008,1.0,0.9961,0.998,0.0088
CNN,Stage1,21,0.0078,1.0,0.9961,0.998,0.0082
CNN,Stage2,1,0.0929,0.9583,0.9923,0.9743,0.0229
CNN,Stage2,2,0.0048,0.999,0.9997,0.9994,0.0009
CNN,Stage2,3,0.004,0.9991,0.9984,0.9988,0.0071
CNN,Stage2,4,0.0037,0.999,0.9997,0.9994,0.0022
CNN,Stage2,5,0.0017,0.9995,0.9999,0.9997,0.0008
CNN,Stage2,6,0.0017,0.9993,0.9991,0.9992,0.002
CNN,Stage2,7,0.0009,0.9983,0.9999,0.9991,0.0004
CNN,Stage2,8,0.0007,0.9995,0.9999,0.9997,0.0008
CNN,Stage2,9,0.0016,0.9995,0.9999,0.9997,0.0007
CNN,Stage2,10,0.0152,0.9971,0.9999,0.9985,0.0012
CNN,Stage2,11,0.0018,0.9971,0.9999,0.9985,0.0014
CNN,Stage2,12,0.0011,0.9983,0.9999,0.9991,0.0009
CNN,Stage2,13,0.0012,0.997,0.9996,0.9983,0.0014
CNN,Stage2,14,0.0006,0.9971,0.9999,0.9985,0.0006
CNN,Stage2,15,0.0005,0.9971,0.9999,0.9985,0.0006
CNN,Stage2,16,0.0004,0.9971,0.9999,0.9985,0.0006
CNN,Stage2,17,0.0003,0.9971,0.9999,0.9985,0.0008
