Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
MAMBA,Stage2,23,1.0778,0.3491,0.3706,0.2482,1.0952
TRANSFORMER,Joint,1,1.3617,0.113,0.3123,0.1633,1.291
TRANSFORMER,Joint,2,1.3043,0.1018,0.3326,0.1004,1.2898
TRANSFORMER,Joint,3,1.295,0.1197,0.3489,0.1559,1.2804
TRANSFORMER,Joint,4,1.2918,0.113,0.3651,0.1462,1.3142
TRANSFORMER,Joint,5,1.2908,0.1161,0.3277,0.1692,1.2717
TRANSFORMER,Joint,6,1.2885,0.122,0.3544,0.131,1.2868
TRANSFORMER,Joint,7,1.2877,0.1105,0.3331,0.151,1.2899
TRANSFORMER,Joint,8,1.2884,0.1138,0.351,0.1328,1.2828
TRANSFORMER,Joint,9,1.285,0.114,0.3572,0.1598,1.2916
TRANSFORMER,Joint,10,1.2858,0.1129,0.3216,0.1099,1.2676
TRANSFORMER,Joint,11,1.2861,0.1112,0.3377,0.1559,1.2836
TRANSFORMER,Joint,12,1.2862,0.1189,0.3348,0.1405,1.2688
TRANSFORMER,Joint,13,1.285,0.1056,0.3352,0.1365,1.2829
TRANSFORMER,Joint,14,1.286,0.1196,0.3324,0.1197,1.2638
TRANSFORMER,Joint,15,1.2842,0.118,0.3619,0.1295,1.2834
TRANSFORMER,Joint,16,1.2834,0.1142,0.3697,0.1176,1.2852
TRANSFORMER,Joint,17,1.2831,0.0979,0.3623,0.0689,1.2845
TRANSFORMER,Joint,18,1.2832,0.1174,0.3654,0.138,1.2823
TRANSFORMER,Joint,19,1.2823,0.101,0.3626,0.0855,1.2858
TRANSFORMER,Joint,20,1.2833,0.1149,0.364,0.1329,1.2969
TRANSFORMER,Joint,21,1.2791,0.1161,0.3584,0.1144,1.2714
TRANSFORMER,Joint,22,1.2783,0.1182,0.3384,0.1659,1.2726
TRANSFORMER,Joint,23,1.2771,0.1155,0.3509,0.169,1.2861
