Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
TRANSFORMER,Stage2,27,0.1592,0.9118,0.9388,0.9154,0.1819
TRANSFORMER,Stage2,28,0.1656,0.9102,0.9373,0.9135,0.1806
TRANSFORMER,Stage2,29,0.1655,0.911,0.938,0.9145,0.1797
CNN,Joint,1,0.4127,0.7639,0.8965,0.8099,0.359
CNN,Joint,2,0.2594,0.7933,0.8855,0.8252,0.3285
CNN,Joint,3,0.2549,0.7621,0.9186,0.8137,0.3528
CNN,Joint,4,0.248,0.7763,0.9032,0.8198,0.3285
CNN,Joint,5,0.2413,0.7681,0.9242,0.8199,0.3409
CNN,Joint,6,0.2345,0.7997,0.8997,0.8347,0.317
CNN,Joint,7,0.232,0.7888,0.9007,0.8278,0.3295
CNN,Joint,8,0.2297,0.7933,0.915,0.8358,0.3082
CNN,Joint,9,0.2232,0.7877,0.924,0.8347,0.3421
CNN,Joint,10,0.2223,0.807,0.8985,0.8389,0.2853
CNN,Joint,11,0.2248,0.7939,0.922,0.8386,0.2944
CNN,Joint,12,0.2132,0.7754,0.9294,0.8271,0.3351
CNN,Joint,13,0.2155,0.812,0.9098,0.8465,0.277
CNN,Joint,14,0.2098,0.7892,0.9224,0.8353,0.2993
CNN,Joint,15,0.2092,0.7914,0.9242,0.8374,0.2993
CNN,Joint,16,0.2031,0.8052,0.9154,0.844,0.2796
CNN,Joint,17,0.2062,0.8113,0.9108,0.8464,0.2693
CNN,Joint,18,0.206,0.7894,0.9209,0.8347,0.2996
CNN,Joint,19,0.2081,0.8084,0.9192,0.8475,0.272
CNN,Joint,20,0.2003,0.795,0.9256,0.8405,0.299
CNN,Joint,21,0.1981,0.8062,0.9158,0.8448,0.2984
CNN,Joint,22,0.1934,0.8124,0.9016,0.8436,0.2743
CNN,Joint,23,0.194,0.7983,0.9286,0.8438,0.2772
CNN,Joint,24,0.1834,0.8175,0.911,0.8504,0.2807
CNN,Joint,25,0.1827,0.7981,0.93,0.8441,0.298
CNN,Joint,26,0.1793,0.8094,0.9179,0.848,0.2723
CNN,Joint,27,0.1774,0.8069,0.9206,0.847,0.2926
CNN,Stage1,1,0.3479,0.6377,0.9375,0.7591,0.2856
CNN,Stage1,2,0.2315,0.6418,0.9533,0.7671,0.2693
CNN,Stage1,3,0.2146,0.7382,0.8896,0.8068,0.2179
CNN,Stage1,4,0.2031,0.7194,0.9375,0.8141,0.2117
CNN,Stage1,5,0.1924,0.6275,0.9829,0.766,0.2369
CNN,Stage1,6,0.1818,0.6831,0.9679,0.8009,0.2263
CNN,Stage1,7,0.1746,0.8687,0.8382,0.8532,0.1687
CNN,Stage1,8,0.1677,0.8187,0.8754,0.8461,0.1711
CNN,Stage1,9,0.1659,0.8523,0.8472,0.8497,0.1685
CNN,Stage1,10,0.1628,0.7515,0.9281,0.8305,0.1878
CNN,Stage1,11,0.1586,0.8028,0.9217,0.8581,0.1571
CNN,Stage1,12,0.151,0.7963,0.9302,0.858,0.1673
CNN,Stage1,13,0.1493,0.738,0.9658,0.8366,0.1871
