log_stem,log_relpath,model,final_val_accuracy,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1.log,MiniRocket,92.22,92.22,1,1,,9996.0,0.5815,23.8844,False,0,0.7797,0.9911,0.8728,1.0,0.9778,0.9888,0.9881,0.7378,0.8448,0.9779,0.9822,0.98,0.9364,0.9222,0.9216,0.9364,0.9222,0.9216,223.0,0.0,2.0,0.0,220.0,0.0,59.0,0.0,166.0,4.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1.log,LSTM,89.89,89.89,101,101,0.2308,50500.0,0.385284423828125,222.9718,False,0,0.7695,0.8756,0.8191,1.0,0.9956,0.9978,0.8601,0.7378,0.7943,0.978,0.9867,0.9823,0.9019,0.8989,0.8984,0.9019,0.8989,0.8984,197.0,0.0,26.0,0.0,224.0,0.0,57.0,0.0,166.0,2.0,0.0,1.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1.log,Mamba,59.0,59.0,51,51,0.8593,17044.0,0.130035400390625,171.8886,True,0,0.5,0.4311,0.463,0.9075,0.9156,0.9115,0.3805,0.3467,0.3628,0.5474,0.6667,0.6012,0.5839,0.59,0.5846,0.5839,0.59,0.5846,97.0,3.0,84.0,1.0,206.0,1.0,75.0,6.0,78.0,21.0,12.0,42.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1.log,Transformer,93.67,94.0,32,43,0.138,288324.0,2.199737548828125,58.2861,True,0,0.8182,0.96,0.8834,1.0,1.0,1.0,0.9516,0.7867,0.8613,1.0,1.0,1.0,0.9424,0.9367,0.9362,0.9424,0.9367,0.9362,216.0,0.0,9.0,0.0,225.0,0.0,48.0,0.0,177.0,0.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed1.log,1D-CNN (InceptionTime),93.44,93.44,55,55,0.1699,473092.0,3.609405517578125,408.6796,True,0,0.8427,0.9289,0.8837,0.9911,0.9911,0.9911,0.9212,0.8311,0.8738,0.9911,0.9867,0.9889,0.9365,0.9344,0.9344,0.9365,0.9344,0.9344,209.0,0.0,16.0,0.0,223.0,0.0,38.0,0.0,187.0,1.0,2.0,0.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed0,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed0.log,Decision Trees (LightGBM),78.56,78.56,1,1,0.4056,,0.4139680862426758,1.2225,False,0,0.9956,1.0,0.9978,0.5396,1.0,0.7009,1.0,0.1422,0.249,1.0,1.0,1.0,0.8838,0.7856,0.7369,0.8838,0.7856,0.7369,225.0,0.0,0.0,0.0,225.0,0.0,1.0,192.0,32.0,0.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed0,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed0.log,MiniRocket,59.22,59.22,1,1,,9996.0,0.5816,22.5086,False,0,1.0,0.1378,0.2422,0.5905,0.8267,0.6889,0.2925,0.4356,0.35,0.9954,0.9689,0.982,0.7196,0.5922,0.5658,0.7196,0.5922,0.5658,31.0,2.0,192.0,0.0,186.0,39.0,0.0,126.0,98.0,0.0,1.0,6.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed0,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed0.log,LSTM,25.0,95.89,31,38,5.207,94780.0,0.723114013671875,106.9494,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed0,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed0.log,Mamba,25.0,92.56,14,23,3.8658,25018.0,0.1908721923828125,79.6631,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed0,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed0.log,Transformer,25.0,94.33,22,32,5.937,405132.0,3.090911865234375,43.3092,True,0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed0,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_geo_Seed0.log,1D-CNN (InceptionTime),25.0,96.67,22,35,6.1237,473668.0,3.613800048828125,257.2304,True,0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2.log,Decision Trees (LightGBM),62.44,62.44,1,1,0.9473,,0.4114408493041992,0.8885,False,0,0.511,0.72,0.5978,0.9515,0.96,0.9558,0.3708,0.2933,0.3275,0.6629,0.5244,0.5856,0.6241,0.6244,0.6167,0.6241,0.6244,0.6167,162.0,0.0,40.0,1.0,216.0,1.0,129.0,0.0,66.0,25.0,11.0,71.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2.log,MiniRocket,91.89,91.89,1,1,,9996.0,0.5813,22.7381,False,0,0.7711,0.9733,0.8605,1.0,1.0,1.0,0.9538,0.7333,0.8291,1.0,0.9689,0.9842,0.9312,0.9189,0.9185,0.9312,0.9189,0.9185,219.0,0.0,6.0,0.0,225.0,0.0,60.0,0.0,165.0,5.0,0.0,2.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2.log,LSTM,75.0,77.44,72,75,0.3603,50500.0,0.385284423828125,164.0473,True,0,0.5714,0.0178,0.0345,1.0,0.9956,0.9978,0.5011,0.9867,0.6647,0.9956,1.0,0.9978,0.767,0.75,0.6737,0.767,0.75,0.6737,4.0,0.0,221.0,0.0,224.0,0.0,3.0,0.0,222.0,0.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2.log,Mamba,60.67,60.67,58,58,0.8632,17044.0,0.130035400390625,202.2926,True,0,0.4853,0.5867,0.5312,0.9083,0.9244,0.9163,0.4065,0.2222,0.2874,0.5652,0.6933,0.6228,0.5913,0.6067,0.5894,0.5913,0.6067,0.5894,132.0,4.0,40.0,3.0,208.0,1.0,113.0,4.0,50.0,24.0,13.0,32.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2.log,Transformer,92.0,93.44,58,69,0.1791,288324.0,2.199737548828125,96.0284,True,0,0.7611,0.9911,0.861,1.0,1.0,1.0,0.9873,0.6889,0.8115,1.0,1.0,1.0,0.9371,0.92,0.9181,0.9371,0.92,0.9181,223.0,0.0,2.0,0.0,225.0,0.0,70.0,0.0,155.0,0.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed2.log,1D-CNN (InceptionTime),91.22,92.89,49,53,0.2374,473092.0,3.609405517578125,392.6187,True,0,0.7651,0.9556,0.8498,0.9912,0.9956,0.9933,0.9412,0.7111,0.8101,0.9955,0.9867,0.9911,0.9232,0.9122,0.9111,0.9232,0.9122,0.9111,215.0,0.0,10.0,0.0,224.0,0.0,65.0,0.0,160.0,1.0,2.0,0.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,Decision Trees (LightGBM),93.11,93.11,1,1,0.3879,,0.41416454315185547,1.2382,False,0,0.8321,0.9689,0.8953,1.0,1.0,1.0,0.9275,0.7956,0.8565,0.9818,0.96,0.9708,0.9353,0.9311,0.9306,0.9353,0.9311,0.9306,218.0,0.0,7.0,0.0,225.0,0.0,42.0,0.0,179.0,2.0,0.0,7.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,MiniRocket,94.11,94.11,1,1,,9996.0,0.5815,24.0003,False,0,0.8216,0.9822,0.8947,1.0,0.9956,0.9978,0.9779,0.7867,0.8719,0.9956,1.0,0.9978,0.9488,0.9411,0.9406,0.9488,0.9411,0.9406,221.0,0.0,4.0,0.0,224.0,0.0,48.0,0.0,177.0,0.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,LSTM,95.56,96.0,32,43,0.1323,94780.0,0.723114013671875,121.359,True,0,0.8745,0.96,0.9153,1.0,1.0,1.0,0.9557,0.8622,0.9065,1.0,1.0,1.0,0.9575,0.9556,0.9554,0.9575,0.9556,0.9554,216.0,0.0,9.0,0.0,225.0,0.0,31.0,0.0,194.0,0.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,Mamba,89.78,92.33,16,20,0.281,25018.0,0.1908721923828125,67.4162,True,0,0.817,0.8133,0.8151,0.974,1.0,0.9868,0.8106,0.8178,0.8142,0.9908,0.96,0.9752,0.8981,0.8978,0.8978,0.8981,0.8978,0.8978,183.0,0.0,41.0,0.0,225.0,0.0,38.0,2.0,184.0,3.0,4.0,2.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2,leo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed2.log,Transformer,94.33,95.33,38,57,0.1418,405132.0,3.090911865234375,81.3502,True,0,0.8246,0.9822,0.8966,1.0,1.0,1.0,0.978,0.7911,0.8747,1.0,1.0,1.0,0.9507,0.9433,0.9428,0.9507,0.9433,0.9428,221.0,0.0,4.0,0.0,225.0,0.0,47.0,0.0,178.0,0.0,0.0,0.0
