log_stem,log_relpath,model,final_val_accuracy,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
100min1500SeqData_Std_EvalTest_Seed0,geo/100min-1500/100min1500SeqData_Std_EvalTest_Seed0.log,LSTM,25.0,25.0,1,18,1.3863,28660.0,0.218658447265625,94.8104,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.4,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100min1500SeqData_Std_EvalTest_Seed0,geo/100min-1500/100min1500SeqData_Std_EvalTest_Seed0.log,Mamba,25.0,25.0,2,27,1.3863,12208.0,0.0931396484375,114.6013,True,0,0.25,0.12,0.1622,0.25,0.3378,0.2873,0.25,0.1644,0.1984,0.25,0.3778,0.3009,0.25,0.25,0.2372,0.25,0.25,0.2372,27.0,76.0,37.0,27.0,76.0,37.0,27.0,76.0,37.0,27.0,76.0,37.0
100min1500SeqData_Std_EvalTest_Seed0,geo/100min-1500/100min1500SeqData_Std_EvalTest_Seed0.log,Transformer,25.0,25.0,1,15,1.3879,213092.0,1.625762939453125,26.348,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0
100min1500SeqData_Std_EvalTest_Seed0,geo/100min-1500/100min1500SeqData_Std_EvalTest_Seed0.log,1D-CNN (InceptionTime),25.0,25.0,1,31,1.3864,472708.0,3.606475830078125,333.8405,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1067,0.1495,0.25,0.8933,0.3907,0.125,0.25,0.1351,0.125,0.25,0.1351,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0
100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed1,geo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed1.log,Decision Trees (LightGBM),29.56,29.56,1,1,1.537,,0.4546194076538086,4.7285,False,0,0.3129,0.9511,0.4708,1.0,0.1689,0.289,0.0787,0.0622,0.0695,0.0,0.0,0.0,0.3479,0.2956,0.2073,0.3479,0.2956,0.2073,214.0,0.0,11.0,49.0,38.0,138.0,211.0,0.0,14.0,210.0,0.0,15.0
100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed1,geo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed1.log,MiniRocket,23.78,23.78,1,1,,9996.0,0.5946,33.1366,False,0,0.5,0.1156,0.1877,0.2261,0.7467,0.3471,0.2759,0.0356,0.063,0.1579,0.0533,0.0797,0.29,0.2378,0.1694,0.29,0.2378,0.1694,26.0,183.0,11.0,0.0,168.0,0.0,22.0,193.0,8.0,4.0,199.0,10.0
100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed1,geo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed1.log,LSTM,25.0,99.89,24,49,8.1439,94780.0,0.723114013671875,423.1389,True,0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0
100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed1,geo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed1.log,Mamba,25.0,99.78,23,28,53.5985,25018.0,0.1908721923828125,185.8996,True,0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0
100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed1,geo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed1.log,Transformer,25.0,99.89,20,31,6.3213,405132.0,3.090911865234375,70.3461,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0
100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed1,geo/100min-1500/100min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_Test_leo_Seed1.log,1D-CNN (InceptionTime),25.0,99.67,3,17,10.7144,473668.0,3.613800048828125,178.9597,True,0,0.25,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0
