Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
LSTM,Stage1,74,0.046,0.9615,0.9843,0.9728,0.046
LSTM,Stage1,75,0.0461,0.9638,0.9809,0.9723,0.0464
LSTM,Stage1,76,0.0386,0.9699,0.9839,0.9769,0.043
LSTM,Stage1,77,0.0381,0.9589,0.9881,0.9733,0.0452
LSTM,Stage1,78,0.0374,0.9277,0.9894,0.9576,0.0568
LSTM,Stage1,79,0.0387,0.9663,0.9835,0.9748,0.0432
LSTM,Stage1,80,0.0399,0.9333,0.9898,0.9607,0.0525
LSTM,Stage1,81,0.037,0.9728,0.986,0.9794,0.0423
LSTM,Stage1,82,0.0369,0.9522,0.9886,0.9701,0.0449
LSTM,Stage1,83,0.0372,0.951,0.9869,0.9686,0.0468
LSTM,Stage1,84,0.0394,0.9388,0.9873,0.9624,0.0559
LSTM,Stage1,85,0.0366,0.9717,0.9737,0.9727,0.0461
LSTM,Stage1,86,0.0365,0.9717,0.9754,0.9736,0.0455
LSTM,Stage1,87,0.0353,0.9651,0.9835,0.9742,0.043
LSTM,Stage1,88,0.0338,0.9644,0.9869,0.9755,0.0448
LSTM,Stage1,89,0.0331,0.9604,0.9856,0.9728,0.0433
LSTM,Stage1,90,0.0328,0.962,0.9873,0.9745,0.0433
LSTM,Stage1,91,0.0335,0.9734,0.978,0.9757,0.0452
LSTM,Stage2,1,1.0894,0.3999,0.4945,0.3899,1.0452
LSTM,Stage2,2,0.8864,0.5294,0.5645,0.5431,0.8527
LSTM,Stage2,3,0.7768,0.5045,0.6052,0.4661,0.7709
LSTM,Stage2,4,0.7129,0.5076,0.6439,0.5113,0.7124
LSTM,Stage2,5,0.6296,0.7597,0.7815,0.7509,0.5006
LSTM,Stage2,6,0.4391,0.7785,0.7843,0.7814,0.4042
LSTM,Stage2,7,0.3688,0.8476,0.8821,0.861,0.2992
LSTM,Stage2,8,0.3183,0.8037,0.864,0.8102,0.3109
LSTM,Stage2,9,0.2674,0.9021,0.9151,0.9082,0.2187
LSTM,Stage2,10,0.2112,0.9423,0.9167,0.9283,0.2122
LSTM,Stage2,11,0.1643,0.9257,0.9672,0.9432,0.1192
LSTM,Stage2,12,0.1217,0.9579,0.9653,0.9616,0.1064
LSTM,Stage2,13,0.1051,0.9497,0.9736,0.9607,0.079
LSTM,Stage2,14,0.0863,0.9491,0.9733,0.96,0.0741
