Model,Component,Epoch,Training Loss,Val Event Precision,Val Event Recall,Val Event F1,Val Loss
TRANSFORMER,Joint,19,1.3358,0.1032,0.2623,0.1142,1.3532
TRANSFORMER,Stage1,1,0.69,0.3162,0.3761,0.3435,0.6501
TRANSFORMER,Stage1,2,0.6733,0.3074,0.5965,0.4057,0.6687
TRANSFORMER,Stage1,3,0.6698,0.3024,0.7996,0.4389,0.686
TRANSFORMER,Stage1,4,0.6685,0.3109,0.6819,0.4271,0.6618
TRANSFORMER,Stage1,5,0.6685,0.3104,0.6681,0.4238,0.6604
TRANSFORMER,Stage1,6,0.6664,0.3089,0.7221,0.4327,0.6654
TRANSFORMER,Stage1,7,0.6673,0.3138,0.426,0.3614,0.6428
TRANSFORMER,Stage1,8,0.6655,0.3126,0.6717,0.4267,0.6582
TRANSFORMER,Stage1,9,0.6653,0.3043,0.7577,0.4342,0.6765
TRANSFORMER,Stage1,10,0.6657,0.3146,0.5621,0.4034,0.6498
TRANSFORMER,Stage1,11,0.6664,0.3051,0.7702,0.437,0.676
TRANSFORMER,Stage1,12,0.664,0.3091,0.7185,0.4322,0.6624
TRANSFORMER,Stage1,13,0.6638,0.301,0.8148,0.4396,0.6879
TRANSFORMER,Stage1,14,0.6633,0.3137,0.6612,0.4255,0.6521
TRANSFORMER,Stage1,15,0.6634,0.3077,0.7428,0.4351,0.6671
TRANSFORMER,Stage1,16,0.663,0.3139,0.6595,0.4253,0.6529
TRANSFORMER,Stage1,17,0.663,0.3063,0.751,0.4351,0.6674
TRANSFORMER,Stage2,1,1.135,0.3436,0.3489,0.2524,1.11
TRANSFORMER,Stage2,2,1.1075,0.3374,0.3402,0.2038,1.1036
TRANSFORMER,Stage2,3,1.1,0.3423,0.3564,0.1142,1.096
TRANSFORMER,Stage2,4,1.0941,0.3405,0.3622,0.2504,1.0956
TRANSFORMER,Stage2,5,1.0891,0.3394,0.3582,0.2449,1.1015
TRANSFORMER,Stage2,6,1.0835,0.3326,0.3624,0.1555,1.0984
TRANSFORMER,Stage2,7,1.0847,0.3405,0.362,0.29,1.1039
TRANSFORMER,Stage2,8,1.0828,0.3418,0.3715,0.1844,1.1009
TRANSFORMER,Stage2,9,1.0833,0.3385,0.3551,0.1916,1.0937
TRANSFORMER,Stage2,10,1.0808,0.335,0.3698,0.2313,1.0985
TRANSFORMER,Stage2,11,1.0792,0.3349,0.3776,0.2027,1.0982
TRANSFORMER,Stage2,12,1.0773,0.3343,0.3555,0.2541,1.1057
TRANSFORMER,Stage2,13,1.0771,0.3394,0.3645,0.2146,1.0967
TRANSFORMER,Stage2,14,1.0763,0.3361,0.3527,0.2877,1.1027
TRANSFORMER,Stage2,15,1.0751,0.3367,0.3616,0.251,1.0983
TRANSFORMER,Stage2,16,1.0705,0.335,0.3565,0.2247,1.1002
TRANSFORMER,Stage2,17,1.0684,0.3389,0.3584,0.2582,1.1002
TRANSFORMER,Stage2,18,1.0671,0.3339,0.3645,0.1687,1.0992
TRANSFORMER,Stage2,19,1.066,0.3337,0.3605,0.2392,1.1034
CNN,Joint,1,1.4027,0.101,0.2376,0.0836,1.3485
CNN,Joint,2,1.3782,0.1009,0.269,0.1378,1.361
CNN,Joint,3,1.3661,0.078,0.3145,0.122,1.3869
CNN,Joint,4,1.3661,0.0965,0.2842,0.1249,1.3632
CNN,Joint,5,1.3661,0.1012,0.3027,0.1302,1.382
CNN,Joint,6,1.3625,0.0976,0.2529,0.1372,1.3535
CNN,Joint,7,1.3593,0.0233,0.2971,0.0431,1.3632
CNN,Joint,8,1.3531,0.0947,0.2729,0.0465,1.3679
CNN,Joint,9,1.3542,0.1008,0.3279,0.1202,1.364
CNN,Joint,10,1.3523,0.0962,0.2988,0.0939,1.3674
CNN,Joint,11,1.3514,0.0925,0.3245,0.1101,1.383
CNN,Stage1,1,0.6929,0.3133,0.6189,0.416,0.6532
CNN,Stage1,2,0.6715,0.3036,0.7862,0.4381,0.6797
CNN,Stage1,3,0.6699,0.3087,0.7165,0.4315,0.6603
CNN,Stage1,4,0.6696,0.3119,0.6818,0.428,0.6554
CNN,Stage1,5,0.6678,0.308,0.7382,0.4346,0.6628
CNN,Stage1,6,0.665,0.3085,0.725,0.4328,0.6612
CNN,Stage1,7,0.6658,0.2978,0.8492,0.441,0.7105
CNN,Stage1,8,0.6635,0.3134,0.651,0.4231,0.6501
CNN,Stage1,9,0.6631,0.3038,0.781,0.4374,0.6805
CNN,Stage1,10,0.6629,0.3098,0.7015,0.4298,0.659
CNN,Stage1,11,0.6635,0.3062,0.7625,0.437,0.6772
CNN,Stage1,12,0.6631,0.3056,0.7661,0.4369,0.6728
CNN,Stage1,13,0.663,0.3145,0.628,0.4191,0.6477
CNN,Stage1,14,0.665,0.3126,0.6641,0.4251,0.6539
CNN,Stage1,15,0.6632,0.308,0.7268,0.4327,0.6682
CNN,Stage1,16,0.6622,0.3078,0.7224,0.4317,0.6641
CNN,Stage1,17,0.6617,0.3132,0.6395,0.4205,0.6514
CNN,Stage1,18,0.6623,0.3061,0.7503,0.4348,0.6709
CNN,Stage1,19,0.6619,0.3078,0.729,0.4328,0.6665
CNN,Stage1,20,0.66,0.3022,0.797,0.4382,0.6872
CNN,Stage1,21,0.6602,0.3038,0.7704,0.4357,0.6835
CNN,Stage1,22,0.6604,0.3055,0.7321,0.4311,0.6695
CNN,Stage1,23,0.6592,0.3099,0.6245,0.4142,0.654
CNN,Stage2,1,1.1281,0.3241,0.3374,0.1297,1.0991
CNN,Stage2,2,1.0976,0.0769,0.3516,0.0935,1.099
CNN,Stage2,3,1.0947,0.0743,0.3397,0.0845,1.0997
CNN,Stage2,4,1.0899,0.3341,0.3743,0.13,1.1169
CNN,Stage2,5,1.0888,0.344,0.373,0.1367,1.0965
CNN,Stage2,6,1.0856,0.0779,0.3811,0.1255,1.1037
CNN,Stage2,7,1.084,0.2624,0.3557,0.277,1.1038
CNN,Stage2,8,1.084,0.35,0.3506,0.2806,1.0995
CNN,Stage2,9,1.0805,0.3292,0.3717,0.1274,1.0963
CNN,Stage2,10,1.0789,0.3365,0.3761,0.1703,1.0997
CNN,Stage2,11,1.0773,0.4103,0.3689,0.1197,1.0965
CNN,Stage2,12,1.0816,0.3394,0.3659,0.2737,1.0964
CNN,Stage2,13,1.0818,0.3405,0.3801,0.1729,1.1097
CNN,Stage2,14,1.0741,0.244,0.374,0.1174,1.0973
CNN,Stage2,15,1.0717,0.3457,0.3742,0.1269,1.1028
CNN,Stage2,16,1.0664,0.3369,0.3776,0.1793,1.0997
CNN,Stage2,17,1.0624,0.3395,0.37,0.1912,1.103
CNN,Stage2,18,1.0636,0.3853,0.37,0.1207,1.1154
CNN,Stage2,19,1.0602,0.3374,0.3566,0.2482,1.1117
