log_stem,log_relpath,model,final_val_accuracy,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1,0_precision,0_recall,0_f1,1_precision,1_recall,1_f1,2_precision,2_recall,2_f1,3_precision,3_recall,3_f1
100min800Norm_Noise_Train_640,vleo/100min-800/100min800Norm_Noise_Train_640.log,Transformer,25.16,25.78,33,68,1.3863,41940,0.319976806640625,54.1683,True,0,0.2632,0.125,0.1695,0.2593,0.1313,0.1743,0.2455,0.1688,0.2,0.2493,0.5813,0.349,0.2543,0.2516,0.2232,0.2543,0.2516,0.2232,20.0,20.0,27.0,17.0,21.0,28.0,20.0,20.0,27.0,19.0,20.0,28.0,,,,,,,,,,,,
100min800Norm_Noise_Train_640,vleo/100min-800/100min800Norm_Noise_Train_640.log,MLP,25.94,26.56,12,101,0.2768,708,0.005401611328125,6.0551,False,0,,,,,,,,,,,,,0.2576,0.2594,0.257,0.2576,0.2594,0.257,32.0,37.0,54.0,34.0,44.0,45.0,32.0,37.0,54.0,34.0,44.0,46.0,0.2424,0.2,0.2192,0.2716,0.275,0.2733,0.2714,0.3375,0.3008,0.2449,0.225,0.2345
30min800OE_Norm_Noise_Train_640,vleo/30min-800/30min800OE_Norm_Noise_Train_640.log,Decision Trees,71.88,71.88,1,1,0.637,0,0.34951114654541016,0.2911,False,0,0.5263,0.5,0.5128,0.8152,0.9375,0.8721,0.5252,0.4562,0.4883,0.9515,0.9812,0.9662,0.7046,0.7188,0.7098,0.7046,0.7188,0.7098,80.0,15.0,65.0,1.0,150.0,1.0,71.0,16.0,73.0,0.0,3.0,0.0,,,,,,,,,,,,
30min800OE_Norm_Noise_Train_640,vleo/30min-800/30min800OE_Norm_Noise_Train_640.log,Nearest Neighbor,41.41,41.41,1,1,,0,4.0107,0.0618,False,0,0.3595,0.3438,0.3514,0.4326,0.4813,0.4556,0.3333,0.3,0.3158,0.5152,0.5312,0.5231,0.4101,0.4141,0.4115,0.4101,0.4141,0.4115,55.0,27.0,56.0,21.0,77.0,28.0,59.0,29.0,48.0,18.0,45.0,12.0,,,,,,,,,,,,
30min800OE_Norm_Noise_Train_640,vleo/30min-800/30min800OE_Norm_Noise_Train_640.log,LSTM,50.78,53.44,55,59,1.0715,18004,0.137359619140625,16.9212,True,0,0.2778,0.0312,0.0562,0.4511,0.5188,0.4826,0.4804,0.6125,0.5385,0.594,0.8688,0.7056,0.4508,0.5078,0.4457,0.4508,0.5078,0.4457,5.0,38.0,100.0,7.0,83.0,6.0,6.0,42.0,98.0,0.0,21.0,0.0,,,,,,,,,,,,
30min800OE_Norm_Noise_Train_640,vleo/30min-800/30min800OE_Norm_Noise_Train_640.log,Mamba,60.0,60.78,83,88,0.9693,6106,0.0465850830078125,34.1485,True,0,0.4393,0.2938,0.3521,0.6316,0.675,0.6526,0.4278,0.4813,0.4529,0.8352,0.95,0.8889,0.5834,0.6,0.5866,0.5834,0.6,0.5866,47.0,28.0,80.0,9.0,108.0,23.0,51.0,27.0,77.0,0.0,8.0,0.0,,,,,,,,,,,,
30min800OE_Norm_Noise_Train_640,vleo/30min-800/30min800OE_Norm_Noise_Train_640.log,Transformer,54.06,56.41,35,39,1.054,41940,0.319976806640625,17.9021,True,0,0.4386,0.3125,0.365,0.6022,0.6813,0.6393,0.4395,0.4313,0.4353,0.6277,0.7375,0.6782,0.527,0.5406,0.5294,0.527,0.5406,0.5294,50.0,19.0,75.0,10.0,109.0,7.0,48.0,23.0,69.0,6.0,30.0,6.0,,,,,,,,,,,,
30min800OE_Norm_Noise_Train_640,vleo/30min-800/30min800OE_Norm_Noise_Train_640.log,MLP,44.53,45.16,60,79,0.2268,644,0.004913330078125,4.9846,True,0,,,,,,,,,,,,,0.4424,0.4453,0.4435,0.4424,0.4453,0.4435,58.0,34.0,54.0,27.0,70.0,29.0,57.0,36.0,53.0,21.0,28.0,7.0,0.3558,0.3625,0.3591,0.4167,0.4375,0.4268,0.3706,0.3312,0.3498,0.6265,0.65,0.638
30min800Norm_Noise_Train_640,vleo/30min-800/30min800Norm_Noise_Train_640.log,Decision Trees,25.47,25.47,1,1,1.394,0,0.3538627624511719,0.3916,False,0,0.2561,0.1313,0.1736,0.2448,0.2188,0.231,0.2595,0.2562,0.2579,0.2568,0.4125,0.3165,0.2543,0.2547,0.2447,0.2543,0.2547,0.2447,21.0,36.0,40.0,22.0,35.0,39.0,20.0,35.0,41.0,19.0,37.0,38.0,,,,,,,,,,,,
30min800Norm_Noise_Train_640,vleo/30min-800/30min800Norm_Noise_Train_640.log,Nearest Neighbor,26.41,26.41,1,1,,0,4.0107,0.062,False,0,0.255,0.3187,0.2833,0.2587,0.2313,0.2442,0.2571,0.3375,0.2919,0.3103,0.1688,0.2186,0.2703,0.2641,0.2595,0.2703,0.2641,0.2595,51.0,35.0,54.0,50.0,37.0,53.0,51.0,35.0,54.0,48.0,36.0,49.0,,,,,,,,,,,,
30min800Norm_Noise_Train_640,vleo/30min-800/30min800Norm_Noise_Train_640.log,LSTM,25.0,25.0,1,16,1.3863,18004,0.137359619140625,4.2739,True,0,0.0,0.0,0.0,0.25,0.7,0.3684,0.0,0.0,0.0,0.25,0.3,0.2727,0.125,0.25,0.1603,0.125,0.25,0.1603,0.0,112.0,0.0,0.0,112.0,0.0,0.0,112.0,0.0,0.0,112.0,0.0,,,,,,,,,,,,
30min800Norm_Noise_Train_640,vleo/30min-800/30min800Norm_Noise_Train_640.log,Mamba,25.0,25.31,24,101,1.3863,6106,0.0465850830078125,35.8885,False,0,0.25,0.1062,0.1491,0.25,0.3125,0.2778,0.25,0.35,0.2917,0.25,0.2313,0.2403,0.25,0.25,0.2397,0.25,0.25,0.2397,17.0,50.0,56.0,17.0,50.0,56.0,17.0,50.0,56.0,17.0,50.0,56.0,,,,,,,,,,,,
