log_stem,log_relpath,model,final_val_accuracy,max_val_accuracy,best_epoch,epochs_trained,final_val_loss,params,memory_mb,training_time_s,early_stopping,lr_reductions,no_thrust_precision,no_thrust_recall,no_thrust_f1,chemical_precision,chemical_recall,chemical_f1,electric_precision,electric_recall,electric_f1,impulsive_precision,impulsive_recall,impulsive_f1,macro_avg_precision,macro_avg_recall,macro_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,t_no_thrust_precision,t_no_thrust_recall,t_no_thrust_f1,t_chemical_precision,t_chemical_recall,t_chemical_f1,t_electric_precision,t_electric_recall,t_electric_f1,t_impulsive_precision,t_impulsive_recall,t_impulsive_f1
30min1500SeqData_Std_EvalTest_Seed1,meo/30min-1500/30min1500SeqData_Std_EvalTest_Seed1.log,LSTM,25.0,25.0,1,25,1.3863,28660.0,0.218658447265625,44.4045,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.4,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30min1500SeqData_Std_EvalTest_Seed1,meo/30min-1500/30min1500SeqData_Std_EvalTest_Seed1.log,Mamba,25.0,25.0,1,13,1.3863,12208.0,0.0931396484375,48.732,True,0,0.25,0.2889,0.268,0.25,0.2133,0.2302,0.25,0.3556,0.2936,0.25,0.1422,0.1813,0.25,0.25,0.2433,0.25,0.25,0.2433,65.0,48.0,80.0,65.0,48.0,80.0,65.0,48.0,80.0,65.0,48.0,80.0
30min1500SeqData_Std_EvalTest_Seed1,meo/30min-1500/30min1500SeqData_Std_EvalTest_Seed1.log,Transformer,25.0,25.0,1,30,1.3864,213092.0,1.625762939453125,41.044,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0
30min1500SeqData_Std_EvalTest_Seed1,meo/30min-1500/30min1500SeqData_Std_EvalTest_Seed1.log,1D-CNN (InceptionTime),25.0,25.0,1,34,1.3863,472708.0,3.606475830078125,248.708,True,0,0.25,0.2,0.2222,0.25,0.6933,0.3675,0.25,0.1067,0.1495,0.0,0.0,0.0,0.1875,0.25,0.1848,0.1875,0.25,0.1848,45.0,156.0,24.0,45.0,156.0,24.0,45.0,156.0,24.0,45.0,156.0,24.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed0,meo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed0.log,Decision Trees (LightGBM),42.22,42.22,1,1,1.2883,,0.41200923919677734,0.8352,False,0,0.4507,0.8533,0.5899,0.3937,0.2222,0.2841,0.302,0.2711,0.2857,0.531,0.3422,0.4162,0.4194,0.4222,0.394,0.4194,0.4222,0.394,192.0,3.0,27.0,63.0,50.0,58.0,124.0,29.0,61.0,47.0,45.0,56.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed0,meo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed0.log,MiniRocket,99.78,99.78,1,1,,9996.0,0.5813,22.9752,False,0,0.9912,1.0,0.9956,1.0,1.0,1.0,1.0,0.9911,0.9955,1.0,1.0,1.0,0.9978,0.9978,0.9978,0.9978,0.9978,0.9978,225.0,0.0,0.0,0.0,225.0,0.0,2.0,0.0,223.0,0.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed0,meo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed0.log,LSTM,29.78,31.44,61,65,1.4146,50500.0,0.385284423828125,140.0018,True,0,0.3072,0.4711,0.3719,0.3211,0.1556,0.2096,0.2667,0.1067,0.1524,0.2893,0.4578,0.3546,0.2961,0.2978,0.2721,0.2961,0.2978,0.2721,106.0,19.0,26.0,79.0,35.0,19.0,89.0,25.0,24.0,71.0,30.0,21.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed0,meo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed0.log,Mamba,49.44,52.56,73,77,1.1269,17044.0,0.130035400390625,262.9088,True,0,0.5172,0.8711,0.649,0.3594,0.2044,0.2606,0.5403,0.2978,0.384,0.5056,0.6044,0.5506,0.4806,0.4944,0.461,0.4806,0.4944,0.461,196.0,6.0,15.0,49.0,46.0,26.0,111.0,26.0,67.0,23.0,50.0,16.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed0,meo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed0.log,Transformer,76.11,76.11,100,100,0.4731,288324.0,2.199737548828125,137.045,True,0,0.9781,0.9911,0.9845,0.6117,0.28,0.3841,0.8294,0.9289,0.8763,0.5994,0.8444,0.7011,0.7546,0.7611,0.7365,0.7546,0.7611,0.7365,223.0,0.0,1.0,1.0,63.0,35.0,4.0,12.0,209.0,0.0,28.0,7.0
30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed0,meo/30min-1500/30min1500SeqData_Energy_J2Energy_OE_Std_EvalTest_Seed0.log,1D-CNN (InceptionTime),91.11,91.11,52,52,0.372,473092.0,3.609405517578125,384.7374,True,0,0.8807,0.9511,0.9145,0.9286,0.8667,0.8966,0.9289,0.9289,0.9289,0.9099,0.8978,0.9038,0.912,0.9111,0.9109,0.912,0.9111,0.9109,214.0,0.0,11.0,6.0,195.0,5.0,15.0,0.0,209.0,8.0,15.0,0.0
30min1500SeqData_Std_EvalTest_Seed0,meo/30min-1500/30min1500SeqData_Std_EvalTest_Seed0.log,Decision Trees (LightGBM),25.11,25.11,1,1,1.3869,,0.4170112609863281,0.6177,False,0,0.2527,0.3156,0.2806,0.2453,0.1733,0.2031,0.25,0.24,0.2449,0.2541,0.2756,0.2644,0.2505,0.2511,0.2483,0.2505,0.2511,0.2483,71.0,40.0,53.0,71.0,39.0,55.0,70.0,40.0,54.0,69.0,40.0,54.0
30min1500SeqData_Std_EvalTest_Seed0,meo/30min-1500/30min1500SeqData_Std_EvalTest_Seed0.log,MiniRocket,29.78,29.78,1,1,,9996.0,0.5809,22.9515,False,0,0.2791,0.2133,0.2418,0.2421,0.2044,0.2217,0.2727,0.1733,0.212,0.3418,0.6,0.4355,0.2839,0.2978,0.2777,0.2839,0.2978,0.2777,48.0,53.0,39.0,47.0,46.0,42.0,48.0,53.0,39.0,29.0,38.0,23.0
30min1500SeqData_Std_EvalTest_Seed0,meo/30min-1500/30min1500SeqData_Std_EvalTest_Seed0.log,LSTM,25.0,25.0,1,18,1.3863,28660.0,0.218658447265625,31.502,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.4,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30min1500SeqData_Std_EvalTest_Seed0,meo/30min-1500/30min1500SeqData_Std_EvalTest_Seed0.log,Mamba,25.0,25.11,20,24,1.3863,12208.0,0.0931396484375,99.6475,True,0,0.25,0.1867,0.2137,0.25,0.2889,0.268,0.25,0.0667,0.1053,0.25,0.4578,0.3234,0.25,0.25,0.2276,0.25,0.25,0.2276,42.0,65.0,15.0,42.0,65.0,15.0,42.0,65.0,15.0,42.0,65.0,15.0
30min1500SeqData_Std_EvalTest_Seed0,meo/30min-1500/30min1500SeqData_Std_EvalTest_Seed0.log,Transformer,25.0,25.0,1,18,1.3874,213092.0,1.625762939453125,24.2568,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.4,0.0,0.0,0.0,0.0625,0.25,0.1,0.0625,0.25,0.1,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0,0.0,0.0,225.0
30min1500SeqData_Std_EvalTest_Seed0,meo/30min-1500/30min1500SeqData_Std_EvalTest_Seed0.log,1D-CNN (InceptionTime),25.0,25.0,1,31,1.3863,472708.0,3.606475830078125,226.0395,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5022,0.3338,0.25,0.4978,0.3328,0.125,0.25,0.1667,0.125,0.25,0.1667,0.0,0.0,113.0,0.0,0.0,113.0,0.0,0.0,113.0,0.0,0.0,113.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed1,meo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed1.log,Decision Trees (LightGBM),99.0,99.0,1,1,0.1845,,0.414642333984375,1.2005,False,0,0.9825,1.0,0.9912,1.0,0.9778,0.9888,1.0,0.9822,0.991,0.9783,1.0,0.989,0.9902,0.99,0.99,0.9902,0.99,0.99,225.0,0.0,0.0,0.0,220.0,0.0,4.0,0.0,221.0,0.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed1,meo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed1.log,MiniRocket,99.67,99.67,1,1,,9996.0,0.5818,23.7038,False,0,0.9868,1.0,0.9934,1.0,1.0,1.0,1.0,0.9867,0.9933,1.0,1.0,1.0,0.9967,0.9967,0.9967,0.9967,0.9967,0.9967,225.0,0.0,0.0,0.0,225.0,0.0,3.0,0.0,222.0,0.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed1,meo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed1.log,LSTM,99.33,99.78,3,30,0.0368,94780.0,0.723114013671875,83.9126,True,0,0.9868,1.0,0.9934,0.9868,1.0,0.9934,1.0,0.9733,0.9865,1.0,1.0,1.0,0.9934,0.9933,0.9933,0.9934,0.9933,0.9933,225.0,0.0,0.0,0.0,225.0,0.0,3.0,3.0,219.0,0.0,0.0,0.0
30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed1,meo/30min-1500/30min1500SeqData_Energy_J2Energy_ResidLadder3_OE_Std_EvalTest_Seed1.log,Mamba,98.67,99.67,27,38,0.0895,25018.0,0.1908721923828125,125.3,True,0,0.9867,0.9911,0.9889,0.9739,0.9956,0.9846,0.9863,0.96,0.973,1.0,1.0,1.0,0.9867,0.9867,0.9866,0.9867,0.9867,0.9866,223.0,0.0,2.0,0.0,224.0,1.0,3.0,6.0,216.0,0.0,0.0,0.0
